country,year,sector,employment,wage,price_index,consumption
France,2020,Industry,3100,37.2,101.4,220.5
France,2020,Services,8200,34.8,101.4,516.2
France,2020,Agriculture,640,25.1,101.4,41.0
France,2021,Industry,3180,38.1,103.1,229.8
France,2021,Services,8460,35.7,103.1,538.4
France,2021,Agriculture,630,25.8,103.1,42.3
France,2022,Industry,3260,40.0,108.4,236.0
France,2022,Services,8750,37.6,108.4,552.8
France,2022,Agriculture,625,27.2,108.4,43.5
Germany,2020,Industry,7600,39.4,100.9,430.0
Germany,2020,Services,12800,36.1,100.9,720.4
Germany,2020,Agriculture,520,24.7,100.9,36.2
Germany,2021,Industry,7720,40.2,104.0,448.1
Germany,2021,Services,13150,37.0,104.0,744.6
Germany,2021,Agriculture,515,25.2,104.0,36.9
Germany,2022,Industry,7850,42.5,111.2,461.5
Germany,2022,Services,13520,39.1,111.2,760.7
Germany,2022,Agriculture,510,26.5,111.2,37.8
Italy,2020,Industry,4200,31.5,100.5,250.2
Italy,2020,Services,7200,29.8,100.5,410.1
Italy,2020,Agriculture,830,22.1,100.5,55.4
Italy,2021,Industry,4280,32.2,102.4,262.7
Italy,2021,Services,7420,30.5,102.4,424.9
Italy,2021,Agriculture,815,22.8,102.4,56.1
Italy,2022,Industry,4350,34.0,109.0,268.3
Italy,2022,Services,7600,32.1,109.0,436.5
Italy,2022,Agriculture,805,24.0,109.0,56.8
